eventid,faith,level_faith
199801010001 ,0.063316139,1
199801010002 ,0.062225497,1
199801010003 ,0.062166544,1
199801020001 ,0.038378777,4
199801020002 ,0.062048637,2
199801040001 ,0.061960206,3
199801040002 ,0.061960206,3
199801050001 ,0.061960206,3
199801050002 ,0.062048637,2
199801050003 ,0.065025792,1
199801050004 ,0.073691968,1
199801060001 ,0.062137067,2
199801060002 ,0.038378777,4
199801060003 ,0.061960206,3
199801060004 ,0.061960206,3
199801070001 ,0.061960206,3
199801080001 ,0.061960206,3
199801080002 ,0.061960206,3
199801090001 ,0.062166544,1
199801090002 ,0.065851142,1
199801100001 ,0.067324982,1
199801100002 ,0.062372881,1
199801100003 ,0.062372881,1
199801110001 ,0.061960206,3
199801110002 ,0.062166544,1
199801110003 ,0.067118644,1
199801110004 ,0.061960206,3
199801110005 ,0.103227708,1
199801120001 ,0.061960206,3
199801120002 ,0.061960206,3
199801120003 ,0.061960206,3
199801130001 ,0.061960206,3
199801130002 ,0.062372881,1
199801130003 ,0.062402358,1
199801140001 ,0.061960206,3
199801140002 ,0.039469418,4
199801150001 ,0.038378777,4
199801170001 ,0.065497421,1
199801170002 ,0.038378777,4
199801170003 ,0.038378777,4
199801170004 ,0.061960206,3
199801180001 ,0.062225497,1
199801180002 ,0.062166544,1
199801190001 ,0.038378777,4
199801190002 ,0.062048637,2
199801190003 ,0.038378777,4
199801200001 ,0.064200442,1
199801200002 ,0.062579219,1
199801200003 ,0.065055269,1
199801200004 ,0.061960206,3
199801200005 ,0.062166544,1
199801210001 ,0.062166544,1
199801210002 ,0.061960206,3
199801210003 ,0.061960206,3
199801210004 ,0.061960206,3
199801210005 ,0.038378777,4
199801210006 ,0.038378777,4
199801220001 ,0.064672071,1
199801230001 ,0.061960206,3
199801230002 ,0.062166544,1
199801240001 ,0.062166544,1
199801240002 ,0.062225497,1
199801240003 ,0.062579219,1
199801250001 ,0.039705232,4
199801250002 ,0.041974945,4
199801250003 ,0.039439941,4
199801250004 ,0.038850405,4
199801250005 ,0.043124539,4
199801250006 ,0.061960206,3
199801250007 ,0.038378777,4
199801250008 ,0.066440678,1
199801260001 ,0.043124539,4
199801260002 ,0.038378777,4
199801270001 ,0.038378777,4
199801280001 ,0.064377303,1
199801280002 ,0.064642594,1
199801280003 ,0.063817244,1
199801280004 ,0.064436256,1
199801280005 ,0.061960206,3
199801290001 ,0.062372881,1
199801290002 ,0.038673545,4
199801310001 ,0.061960206,3
199802010001 ,0.066086957,1
199802020001 ,0.063728814,1
199802020002 ,0.038467207,4
199802030001 ,0.038555637,4
199802040001 ,0.062991894,1
199802040002 ,0.061960206,3
199802040003 ,0.062313928,1
199802050001 ,0.062048637,2
199802050002 ,0.063817244,1
199802050003 ,0.038378777,4
199802060001 ,0.062166544,1
199802060002 ,0.064937362,1
199802060003 ,0.061960206,3
199802060004 ,0.063050847,1
199802060005 ,0.063404569,1
199802070001 ,0.062785556,1
199802070002 ,0.062461312,1
199802070003 ,0.062137067,2
199802070004 ,0.039145173,4
199802080001 ,0.061960206,3
199802090001 ,0.062372881,1
199802100001 ,0.062254974,1
199802100002 ,0.062166544,1
199802100003 ,0.062579219,1
199802110001 ,0.062166544,1
199802120001 ,0.064848931,1
199802120002 ,0.071186441,1
199802120003 ,0.062048637,2
199802120004 ,0.061960206,3
199802120005 ,0.061960206,3
199802130001 ,0.061960206,3
199802130002 ,0.061960206,3
199802130003 ,0.061960206,3
199802140001 ,0.072277082,1
199802140002 ,0.062137067,2
199802140004 ,0.061960206,3
199802150001 ,0.076256448,1
199802150002 ,0.068563007,1
199802150003 ,0.064229919,1
199802150004 ,0.062785556,1
199802150005 ,0.063375092,1
199802150006 ,0.063375092,1
199802150007 ,0.063375092,1
199802150008 ,0.063375092,1
199802150009 ,0.063286662,1
199802150010 ,0.063286662,1
199802150011 ,0.063286662,1
199802150012 ,0.063286662,1
199802150013 ,0.063286662,1
199802150014 ,0.063286662,1
199802150015 ,0.063286662,1
199802150016 ,0.063286662,1
199802150017 ,0.062873987,1
199802150018 ,0.061960206,3
199802150019 ,0.062048637,2
199802180001 ,0.063610906,1
199802190001 ,0.06284451,1
199802190002 ,0.062166544,1
199802190003 ,0.038378777,4
199802200001 ,0.06293294,1
199802200002 ,0.062372881,1
199802200003 ,0.061960206,3
199802200004 ,0.038378777,4
199802210001 ,0.065880619,1
199802210002 ,0.062372881,1
199802210003 ,0.061960206,3
199802210004 ,0.038378777,4
199802210005 ,0.067885041,1
199802210006 ,0.038378777,4
199802220001 ,0.061960206,3
199802220002 ,0.063610906,1
199802230001 ,0.062785556,1
199802230002 ,0.047870302,4
199802230003 ,0.061960206,3
199802240001 ,0.061960206,3
199802240002 ,0.061960206,3
199802250001 ,0.061960206,3
199802250002 ,0.062313928,1
199802250003 ,0.062520265,1
199802250004 ,0.061960206,3
199802250005 ,0.039528371,4
199802260001 ,0.041591746,4
199802260002 ,0.069594694,1
199802260003 ,0.062785556,1
199802260004 ,0.041857038,4
